ll ,Symptoms,Specialist
panic disorder,"anxiety and nervousness , shortness of breath , depressive or psychotic symptoms , chest tightness , palpitations , irregular heartbeat , breathing fast , dizziness , insomnia , depression , abnormal involuntary movements",Psychiatrist
vocal cord polyp,"difficulty speaking , throat swelling , throat feels tight , hoarse voice , sore throat",ENT Specialist
turner syndrome,"depression , emotional symptoms",Endocrinologist/Geneticist
cryptorchidism,"lack of growth , symptoms of the scrotum and testes , swelling of scrotum",Urologist
poisoning due to ethylene glycol,"depression , depressive or psychotic symptoms , abusing alcohol , fainting",Toxicologist
atrophic vaginitis,"suprapubic pain , vaginal itching , painful urination , involuntary urination , frequent urination , vaginal discharge , blood in urine , pain during intercourse",Gynecologist
fracture of the hand,"arm pain , arm stiffness or tightness , hand or finger swelling , hand or finger stiffness or tightness , wrist stiffness or tightness , hand or finger pain , wrist pain , wrist swelling",Orthopedic Surgeon
cellulitis or abscess of mouth,"sore throat , throat swelling , difficulty in swallowing , abnormal appearing skin , skin growth , lip swelling , toothache",Dentist/Oral Surgeon
eye alignment disorder,"lack of growth , eye deviation , double vision , cross-eyed , symptoms of eye , pain in eye , irregular appearing scalp , diminished vision , eye moves abnormally",Ophthalmologist
headache after lumbar puncture,"dizziness , nausea , neck pain , headache , painful urination , vomiting , low back pain",Neurologist
pyloric stenosis,"cough , arm stiffness or tightness , vomiting",Pediatric Surgeon
salivary gland disorder,"sore throat , cough , throat feels tight , swollen lymph nodes",Psychiatrist
osteochondrosis,"bowlegged or knock-kneed , ankle pain , elbow pain , knee pain , hand or finger pain , foot or toe pain",Orthopedic Surgeon
injury to the knee,"knee pain , knee weakness , foot or toe swelling , leg pain , problems with movement",Orthopedic Surgeon
metabolic disorder,"jaundice , arm stiffness or tightness , smoking problems , weight gain",Endocrinologist
vaginitis,"suprapubic pain , vaginal itching , painful urination , pain during intercourse , pelvic pain , vaginal pain , lower abdominal pain , vaginal discharge , sharp abdominal pain , pain during pregnancy , vaginal redness",Gynecologist
sick sinus syndrome,"shortness of breath , irregular heartbeat , fainting , increased heart rate , dizziness , palpitations , weakness , decreased heart rate",Cardiologist
tinnitus of unknown cause,"hoarse voice , headache , ear pain , ringing in ear , itchy ear(s) , diminished hearing , dizziness , plugged feeling in ear",ENT Specialist
glaucoma,"diminished vision , foreign body sensation in eye , spots or clouds in vision , eye redness , lacrimation , itchiness of eye , itchy eyelid , symptoms of eye , pain in eye",Ophthalmologist
eating disorder,"depressive or psychotic symptoms , insomnia , abusing alcohol , decreased appetite , anxiety and nervousness , depression , acne or pimples , weight gain , difficulty eating",Psychiatrist
transient ischemic attack,"depressive or psychotic symptoms , headache , weakness , focal weakness , symptoms of the face , disturbance of memory , dizziness , difficulty speaking , loss of sensation , paresthesia",Neurologist
pyelonephritis,"sharp abdominal pain , nausea , frequent urination , low back pain , side pain , suprapubic pain , lower abdominal pain , back pain , vomiting , painful urination , blood in urine",Nephrologist
rotator cuff injury,"hand or finger stiffness or tightness , shoulder pain , arm stiffness or tightness , shoulder stiffness or tightness , shoulder weakness , arm pain",Orthopedic Surgeon
chronic pain disorder,"hip pain , low back pain , pelvic pain , shoulder pain , leg pain , headache , knee pain , sharp abdominal pain , ache all over , back pain",Pain Management Specialist
problem during pregnancy,"sharp abdominal pain , vomiting , headache , nausea , lower abdominal pain , spotting or bleeding during pregnancy , cramps and spasms , back pain , pain during pregnancy , pelvic pain , problems during pregnancy",Obstetrician
liver cancer,"groin mass , sharp abdominal pain , upper abdominal pain , decreased appetite , stomach bloating",Oncologist
atelectasis,"dizziness , sore throat , cough , headache , shortness of breath , sharp chest pain",Pulmonologist
injury to the hand,"wrist swelling , hand or finger stiffness or tightness , skin growth , joint pain , hand or finger pain , wrist pain , hand or finger swelling",Traumatologist
choledocholithiasis,"sharp chest pain , sharp abdominal pain , nausea , upper abdominal pain , chills , decreased appetite , side pain , jaundice , vomiting",Gastroenterologist
injury to the hip,"leg pain , hand or finger swelling , neck pain , hip pain",Traumatologist
cirrhosis,"blood in stool , vomiting blood , regurgitation , upper abdominal pain , regurgitation.1 , abdominal distention , sharp abdominal pain , shortness of breath , peripheral edema",Hepatologist
thoracic aortic aneurysm,"sharp chest pain , dizziness , jaundice , shortness of breath , sharp abdominal pain , fatigue , chest tightness",Cardiologist
subdural hemorrhage,"depressive or psychotic symptoms , dizziness , irritable infant , vomiting , facial pain , headache",Neurologist
diabetic retinopathy,"symptoms of eye , pain in eye , abnormal movement of eyelid , foreign body sensation in eye , itchiness of eye , diminished vision , double vision , spots or clouds in vision , lacrimation",Ophthalmologist
fibromyalgia,"hip pain , headache , arm pain , low back pain , muscle pain , ache all over , sharp chest pain , neck pain , back pain , leg pain",Rheumatologist
ischemia of the bowel,"retention of urine , blood in stool , nausea , burning abdominal pain , sharp abdominal pain , constipation , vomiting",Gastroenterologist
fetal alcohol syndrome,"depressive or psychotic symptoms , emotional symptoms , excessive anger",Geneticist
peritonitis,"groin mass , vomiting , nausea , back pain , side pain , shortness of breath , sharp abdominal pain , intermenstrual bleeding",General Surgeon
injury to the abdomen,"sharp chest pain , leg pain , sharp abdominal pain , back pain , blood in urine",Traumatologist
acute pancreatitis,"vomiting , diarrhea , side pain , hemoptysis , sharp chest pain , abusing alcohol , sharp abdominal pain , burning abdominal pain , nausea , back pain , lower body pain , upper abdominal pain",Gastroenterologist
thrombophlebitis,"skin swelling , leg pain , arm pain , ache all over , foot or toe pain , leg swelling , arm swelling , skin on leg or foot looks infected , lymphedema",Vascular Surgeon
asthma,"sharp chest pain , wheezing , fever , coughing up sputum , coryza , allergic reaction , shortness of breath , chest tightness , difficulty breathing , cough , nasal congestion",Pulmonologist
foreign body in the vagina,"emotional symptoms , painful urination , vaginal discharge",Gynecologist
restless leg syndrome,"depression , abnormal involuntary movements , leg pain , fatigue , sleepiness , apnea , insomnia , headache",Neurologist
emphysema,"shortness of breath , cough , emotional symptoms , sharp chest pain",Pulmonologist
cysticercosis,"shortness of breath , elbow weakness , headache , seizures",Infectious Disease Specialist
induced abortion,"sharp abdominal pain , lower abdominal pain , intermenstrual bleeding , spotting or bleeding during pregnancy , cramps and spasms , groin pain , pain during pregnancy , vaginal discharge",Obstetrician
teething syndrome,"cough , nasal congestion , diarrhea , symptoms of infants , decreased appetite , fever , redness in ear , ear pain , temper problems",Pediatrician
infectious gastroenteritis,"blood in stool , sharp abdominal pain , vomiting , nausea , diarrhea , burning abdominal pain , decreased appetite , fever , chills , fluid retention , flu-like syndrome , headache",Infectious Disease Specialist
acute sinusitis,"sore throat , ear pain , frontal headache , fever , coryza , sinus congestion , nasal congestion , coughing up sputum , painful sinuses , cough , facial pain",ENT Specialist
substance-related mental disorder,"anxiety and nervousness , insomnia , hostile behavior , feeling ill , delusions or hallucinations , drug abuse , depressive or psychotic symptoms",Psychiatrist
postpartum depression,"depressive or psychotic symptoms , drug abuse , pain during pregnancy , problems during pregnancy , anxiety and nervousness , depression , intermenstrual bleeding , excessive anger , delusions or hallucinations",Psychiatrist
coronary atherosclerosis,"palpitations , irregular heartbeat , burning chest pain , chest tightness , shortness of breath , sharp chest pain , fatigue , leg cramps or spasms",Cardiologist
spondylitis,"leg pain , hip pain , low back pain , side pain , lower body pain , back mass or lump , back pain , stiffness all over , neck pain",Rheumatologist
pituitary adenoma,"nausea , pain in eye , muscle swelling , headache",Endocrinologist
uterine fibroids,"sharp abdominal pain , involuntary urination , lower abdominal pain , heavy menstrual flow , unpredictable menstruation , painful menstruation , pelvic pain , cramps and spasms , intermenstrual bleeding",Gynecologist
idiopathic nonmenstrual bleeding,"sharp abdominal pain , painful urination , long menstrual periods , vaginal discharge , unpredictable menstruation , intermenstrual bleeding",Gynecologist
chalazion,"skin growth , diminished vision , symptoms of eye , pain in eye , lacrimation , swollen eye , eyelid swelling , foreign body sensation in eye , mass on eyelid , eye redness",Ophthalmologist
ovarian torsion,"skin swelling , sharp abdominal pain , lower abdominal pain , ache all over , pelvic pain , groin mass",Gynecologist
retinopathy due to high blood pressure,"pus draining from ear , diminished vision , symptoms of eye , foreign body sensation in eye , pain in eye , spots or clouds in vision","	Ophthalmologist"
vaginal yeast infection,"suprapubic pain , sharp abdominal pain , vaginal itching , painful urination , lower abdominal pain , vaginal pain , itching of skin , vulvar irritation , vaginal redness , vaginal discharge",Gynecologist
mastoiditis,"nasal congestion , diminished hearing , dizziness , facial pain , cough , ear pain",ENT Specialist
lung contusion,"shortness of breath , sharp chest pain , ache all over , back pain",Pulmonologist
hypertrophic obstructive cardiomyopathy (hocm),"anxiety and nervousness , sharp chest pain , emotional symptoms",General Practitioner
ingrown toe nail,"abnormal appearing skin , skin growth , neck swelling , foot or toe pain , foot or toe swelling , skin dryness, peeling, scaliness, or roughness , skin on arm or hand looks infected , skin on leg or foot looks infected , irregular appearing nails , swollen eye",General Practitioner
pulmonary eosinophilia,"sharp chest pain , nasal congestion , paresthesia , dizziness , cough , fever , shortness of breath",General Practitioner
corneal disorder,"diminished vision , foreign body sensation in eye , spots or clouds in vision , lacrimation , white discharge from eye , double vision , eye redness , pain in eye , itchiness of eye , symptoms of eye",Psychiatrist
foreign body in the gastrointestinal tract,"lump in throat , difficulty in swallowing , recent weight loss , sharp abdominal pain , vomiting , vomiting blood",General Practitioner
endophthalmitis,"painful urination , diminished vision , pain in eye , swollen eye , eye redness , itchiness of eye",General Practitioner
intestinal malabsorption,"cough , sharp abdominal pain , vomiting , allergic reaction , nasal congestion , flatulence , diarrhea",General Practitioner
viral warts,"skin swelling , lip swelling , abnormal appearing skin , skin growth , skin moles , warts , skin lesion , bumps on penis , acne or pimples",General Practitioner
hyperhidrosis,"cough , fever , warts , sweating , acne or pimples",General Practitioner
stroke,"abnormal involuntary movements , difficulty speaking , headache , problems with movement , focal weakness , slurring words , depressive or psychotic symptoms , dizziness , seizures , disturbance of memory",General Practitioner
pilonidal cyst,"skin growth , pelvic pain , bones are painful , skin swelling , pain of the anus , lower body pain , irregular appearing scalp , ache all over",General Practitioner
crushing injury,"hand or finger pain , hand or finger swelling , neck swelling , foot or toe pain , knee swelling , hand or finger stiffness or tightness",Traumatologist
normal pressure hydrocephalus,"depressive or psychotic symptoms , palpitations , headache , problems with movement",General Practitioner
alopecia,"feeling ill , acne or pimples , irregular appearing scalp , itching of skin , too little hair , skin swelling , skin growth , skin rash",General Practitioner
hashimoto thyroiditis,"abnormal involuntary movements , weight gain",Endocrinologist
flat feet,"skin swelling , knee pain , ankle pain , problems with movement , foot or toe pain",General Practitioner
