Diseases,Symptoms,Specialist,Weight
panic disorder,"anxiety and nervousness , shortness of breath , depressive or psychotic symptoms , chest tightness , palpitations , irregular heartbeat , breathing fast , dizziness , insomnia , depression , abnormal involuntary movements",Psychiatrist,14
vocal cord polyp,"difficulty speaking , throat swelling , throat feels tight , hoarse voice , sore throat",ENT Specialist,20
turner syndrome,"depression , emotional symptoms",Endocrinologist,70
cryptorchidism,"lack of growth , symptoms of the scrotum and testes , swelling of scrotum",Urologist,16
poisoning due to ethylene glycol,"depression , depressive or psychotic symptoms , abusing alcohol , fainting",Toxicologist,100
atrophic vaginitis,"suprapubic pain , vaginal itching , painful urination , involuntary urination , frequent urination , vaginal discharge , blood in urine , pain during intercourse",Gynecologist,45
fracture of the hand,"arm pain , arm stiffness or tightness , hand or finger swelling , hand or finger stiffness or tightness , wrist stiffness or tightness , hand or finger pain , wrist pain , wrist swelling",Orthopedic Surgeon,48
cellulitis or abscess of mouth,"sore throat , throat swelling , difficulty in swallowing , abnormal appearing skin , skin growth , lip swelling , toothache",Dentist,81
eye alignment disorder,"lack of growth , eye deviation , double vision , cross-eyed , symptoms of eye , pain in eye , irregular appearing scalp , diminished vision , eye moves abnormally",Ophthalmologist,31
headache after lumbar puncture,"dizziness , nausea , neck pain , headache , painful urination , vomiting , low back pain",Neurologist,35
pyloric stenosis,"cough , arm stiffness or tightness , vomiting",Pediatric Surgeon,74
salivary gland disorder,"sore throat , cough , throat feels tight , swollen lymph nodes",Psychiatrist,62
osteochondrosis,"bowlegged or knock-kneed , ankle pain , elbow pain , knee pain , hand or finger pain , foot or toe pain",Orthopedic Surgeon,61
injury to the knee,"knee pain , knee weakness , foot or toe swelling , leg pain , problems with movement",Orthopedic Surgeon,36
metabolic disorder,"jaundice , arm stiffness or tightness , smoking problems , weight gain",Endocrinologist,60
vaginitis,"suprapubic pain , vaginal itching , painful urination , pain during intercourse , pelvic pain , vaginal pain , lower abdominal pain , vaginal discharge , sharp abdominal pain , pain during pregnancy , vaginal redness",Gynecologist,80
sick sinus syndrome,"shortness of breath , irregular heartbeat , fainting , increased heart rate , dizziness , palpitations , weakness , decreased heart rate",Cardiologist,53
tinnitus of unknown cause,"hoarse voice , headache , ear pain , ringing in ear , itchy ear(s) , diminished hearing , dizziness , plugged feeling in ear",ENT Specialist,36
glaucoma,"diminished vision , foreign body sensation in eye , spots or clouds in vision , eye redness , lacrimation , itchiness of eye , itchy eyelid , symptoms of eye , pain in eye",Ophthalmologist,36
eating disorder,"depressive or psychotic symptoms , insomnia , abusing alcohol , decreased appetite , anxiety and nervousness , depression , acne or pimples , weight gain , difficulty eating",Psychiatrist,80
